0 7 2 5468.75
1 7 12 5468.75
2 7 8 5468.75
3 12 14 292.969
4 12 14 292.969
5 7 8 5468.75
6 7 2 5468.75
7 12 14 292.969
8 12 14 292.969
9 12 14 292.969
10 12 14 292.969
11 12 14 292.969
12 7 6 5468.75
13 12 14 292.969
14 12 14 292.969
15 12 14 292.969
16 12 14 292.969
17 12 14 292.969
18 7 2 5468.75
19 7 6 5468.75
20 11 14 537.109
21 7 2 5468.75
22 12 14 292.969
23 12 14 292.969
24 12 14 292.969
25 12 14 292.969
26 7 2 5468.75
27 7 14 5468.75
28 12 14 292.969
29 9 14 1757.81
30 12 14 292.969
31 10 14 976.562
32 7 14 5468.75
33 10 14 976.562
34 12 14 292.969
35 12 14 292.969
36 8 14 3125
37 12 14 292.969
38 7 12 5468.75
39 12 14 292.969
40 7 14 5468.75
41 7 2 5468.75
42 7 8 5468.75
43 9 14 1757.81
44 7 4 5468.75
45 7 2 5468.75
46 7 10 5468.75
47 7 2 5468.75
48 7 2 5468.75
49 7 12 5468.75
